drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
hydroxyurea	small molecule	3657	TCGA	Chemotherapy		alkylating related	approved	DB01005	hydroxyurea|127-07-1|Hydroxycarbamide|N-Hydroxyurea|1-HYDROXYUREA|Hydrea|Oxyurea|Carbamoyl oxime|Biosupressin|Hydroxycarbamine|Urea, hydroxy-|Onco-carbide|Carbamohydroxamic acid|Carbamohydroximic acid|Carbamyl hydroxamate|Hydura|Litalir|Hydurea|N-Carbamoylhydroxylamine|Droxia|Hidrix|Hydroxicarbamidum|Siklos|Hydroxylurea|Hydreia|Litaler|Idrossicarbamide [DCIT]|Hidroxicarbamida|Hydroxyharnstoff|Hydroxycarbamidum|Carbamohydroxyamic acid|N-Hydroxymocovina|Hydroxylamine, N-carbamoyl-|SQ 1089|Hydroxyharnstoff [German]|N-Hydroxymocovina [Czech]|hydroxy urea|NCI-C04831|Hydroxylamine, N-(aminocarbonyl)-|SK 22591|Hydroxycarbamidum [INN-Latin]|Hidroxicarbamida [INN-Spanish]|urea, N-hydroxy-|HU|CCRIS 958|HYDROXY-UREA|NSC 32065|UNII-X6Q56QN5QC|NSC32065|AI3-51139|Hydroxyurea (Cytodrox)|MFCD00007943|CHEMBL467|SQ-1089|X6Q56QN5QC|CHEBI:44423|NSC-32065|8029-68-3|NCGC00015520-03|Hydroxycarbamid|Oncocarbide|Idrossicarbamide|DSSTox_CID_5438|DSSTox_RID_77787|DSSTox_GSID_25438|NHY|Hydroxyurea (D4)|N-HYDROXY UREA|Mylocel|carbamide oxide|CAS-127-07-1|SMR000059149|Hydroxyurea (USP)|Droxia (TM)|Droxia (TN)|Hydrea (TM)|hydroxyaminomethanamide|HSDB 6887|SR-01000075919|DRG-0253|EINECS 204-821-7|HYDREA (TN)|Hydroxyurea [USAN:USP]|BRN 1741548|Hydroxycarbamide (JAN/INN)|hydroxyl urea|Xromi|S-phase/G-1 interface inhibitor|aminohydroxamic acid|carbamic acid oxime|Carbomohydroxamic acid|Spectrum_000909|Hydroxycarbamide [INN]|WLN: ZVMQ|Hydrea (Bristol Meyers)|Spectrum2_000064|Spectrum3_000462|Spectrum4_000012|Spectrum5_000836|Lopac-H-8627|MolMap_000029|H 8627|NCIMech_000139|Hydroxyurea, 98%, powder|Lopac0_000596|BSPBio_002164|KBioGR_000383|KBioSS_001389|4-03-00-00170 (Beilstein Handbook Reference)|hydroxycarbamide (hydroxyurea)|MLS001332381|MLS001332382|MLS002153389|DivK1c_000556|N-(Aminocarbonyl)hydroxylamine|SPECTRUM1500344|SPBio_000247|GTPL6822|DTXSID6025438|tetratogen: inhibits ribonucleoside diphosphate reductase|HMS501L18|KBio1_000556|KBio2_001389|KBio2_003957|KBio2_006525|KBio3_001384|NINDS_000556|Bio1_000451|Bio1_000940|Bio1_001429|HMS1920F09|HMS2091L17|HMS2234I03|HMS3261H14|HMS3373G18|HMS3655K20|HMS3869C03|NCI C04831|Pharmakon1600-01500344|ACT02611|ALBB-028465|AMY40858|HY-B0313|STR02555|ZINC8034120|Tox21_110168|Tox21_300319|Tox21_500596|BBL009928|BDBM50017811|CCG-35236|NSC757072|s1896|STL145898|AKOS005716276|AKOS006222547|Tox21_110168_1|ZINC100019199|DB01005|LP00596|MCULE-9465284053|NSC-757072|SDCCGSBI-0050578.P006|IDI1_000556|NCGC00015520-01|NCGC00015520-02|NCGC00015520-04|NCGC00015520-05|NCGC00015520-06|NCGC00015520-07|NCGC00015520-08|NCGC00015520-09|NCGC00015520-10|NCGC00015520-11|NCGC00015520-20|NCGC00093974-01|NCGC00093974-02|NCGC00093974-03|NCGC00093974-04|NCGC00093974-05|NCGC00254007-01|NCGC00261281-01|AC-22674|NCI60_002773|SBI-0050578.P004|DB-041849|EU-0100596|FT-0627160|FT-0627175|FT-0670210|H0310|SW218071-2|C07044|D00341|Hydroxyurea, Vetec(TM) reagent grade, >=98%|AB00052018-09|AB00052018-10|AB00052018_11|AB00052018_12|127H071|A805636|Q212272|J-504798|SR-01000075919-1|SR-01000075919-3|SR-01000075919-8|E0723DBA-5AF3-49D1-B5F6-59420AB87AC9|F8880-0905|Z1522566612|Hydroxycarbamide, European Pharmacopoeia (EP) Reference Standard|Hydroxyurea, United States Pharmacopeia (USP) Reference Standard
leucovorin	small molecule	6006	TCGA	Chemotherapy		alkylating related	approved	DB00650	
lomustine	small molecule	3950	TCGA	Chemotherapy		alkylating related	approved	DB01206	ccnu
melphalan	small molecule	460612	TCGA	Chemotherapy		alkylating related	approved	DB01042	alkeran|evomela|melphalan|148-82-3|Alkeran|Melfalan|L-PAM|Phenylalanine mustard|L-Sarcolysine|L-Phenylalanine mustard|L-Sarcolysin|p-L-Sarcolysin|4-[Bis(2-chloroethyl)amino]-L-phenylalanine|Melphalanum|Melfalano|Phenylalanine nitrogen mustard|Levofalan|p-Di-(2-chloroethyl)amino-L-phenylalanine|Levopholan|Levofolan|p-Bis(beta-chloroethyl)aminophenylalanine|3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine|L-Sarkolysin|p-N-Bis(2-chloroethyl)amino-L-phenylalanine|4-(Bis(2-chloroethyl)amino)-L-phenylalanine|CB 3025|(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid|3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine|NCI-C04853|L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine|Alanine Nitrogen Mustard|NSC-8806|UNII-Q41OR9510P|CB-3025|CHEBI:28876|p-N,N-bis(2-chloroethyl)amino-L-phenylalanine|CHEMBL852|SK 15673|Sarcolysinum|ALKERAN (TN)|Rcra waste number U150|Q41OR9510P|Alanine, 3-(p-(bis(2-chloroethyl)amino)phenyl)-, L-|Alanine, 3-[p-[bis(2-chloroethyl)amino]phenyl]-, L-|8057-25-8|SK-15673|NCGC00090757-02|(2S)-2-azaniumyl-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoate|DSSTox_CID_804|DSSTox_RID_75797|DSSTox_GSID_20804|Melfalano [INN-Spanish]|Melphalanum [INN-Latin]|Phenylalanine, 4-[bis(2-chloroethyl)amino]-|Evomela|(S)-2-amino-3-(4-(bis(2-chloroethyl)amino)phenyl)propanoic acid|(2s)-2-amino-3-(4-[bis(2-chloroethyl)amino]phenyl)propanoic acid|(S)-2-Amino-3-{4-[bis-(2-chloro-ethyl)-amino]-phenyl}-propionic acid|NSC8806|CAS-148-82-3|SMR000058720|CCRIS 374|HSDB 3234|EINECS 205-726-3|RCRA waste no. U150|NSC 241286|BRN 2816456|L-3-(para-(Bis(2-chloroethyl)amino)phenyl)alanine|Phelinun|(2S)-2-amino-3-{4-[bis(2-chloroethyl)amino]phenyl}propanoic acid|MFCD00057717|NSC241286|Sarcolycin, l-|Melphalan, powder|NSC-241286|Prestwick_1006|Melphalan [USAN:USP:INN:BAN:JAN]|Spectrum_000397|3025 C.B.|Spectrum2_000074|Spectrum3_000684|Spectrum4_000882|Spectrum5_001601|DL-Melphalan hydrochloride|3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine|Epitope ID:141802|4-[Bis-(2-chloroethyl)amino]-L-phenylalanine|SCHEMBL5872|BSPBio_002407|KBioGR_001284|KBioSS_000877|4-14-00-01689 (Beilstein Handbook Reference)|MLS001333666|MLS002153368|BIDD:GT0044|DivK1c_000653|SPECTRUM1500382|SPBio_000287|Melphalan (JP17/USP/INN)|GTPL7620|ZINC1673|DTXSID6020804|NIOSH/AY3360000|HMS502A15|KBio1_000653|KBio2_000877|KBio2_003445|KBio2_006013|KBio3_001627|L-phenylalanine mustard (L-PAM)|NINDS_000653|HMS2090B09|HMS2091B16|HMS2235D21|Pharmakon1600-01500382|Tox21_111010|Tox21_202522|BDBM50025837|CCG-39704|DL-442|NSC757098|s8266|AKOS015895374|Tox21_111010_1|CS-3120|DB01042|NSC-757098|IDI1_000653|SMP2_000174|NCGC00090757-01|NCGC00090757-03|NCGC00090757-04|NCGC00090757-05|NCGC00090757-06|NCGC00260071-01|AS-13314|H877|HY-17575|SBI-0052787.P003|AY33600000|4-[bis(2-chloroethyl)-amino]-L-phenylalanine|4-[bis(2-chloroethyl)-amino]-l-phenyl-alanine|4-[bis(2-chloroethyl)amino]-(L)-phenylalanine|C07122|D00369|AB00053282-07|AB00053282-08|AB00053282_09|148M823|A808810|Alanine, 3-(p-(bis(2-chloroethyl)amino)phenyl)-|SR-05000001667|Q2298283|SR-05000001667-1|W-108096|BRD-K87827419-001-02-8|2-amino-3-[4-bis(2-chloroethyl)amino]phenylpropanoic acid|UNII-A960M0G5TP component SGDBTWWWUNNDEQ-LBPRGKRZSA-N|(2S)-2-azanyl-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid|2-Amino-3-{4-[bis-(2-chloro-ethyl)-amino]-phenyl}-propionic acid|2-Amino-3-{4-[bis-(2-chloro-ethyl)-amino]-phenyl}-propionic acid(L-PAM)|2-Amino-3-{4-[bis-(2-chloro-ethyl)-amino]-phenyl}-propionic acid (Melphalan)|2-Amino-3-{4-[bis-(2-chloro-ethyl)-amino]-phenyl}-propionic acid(Melphalan)|
mitotane	small molecule	4211	TCGA	Chemotherapy		alkylating related	approved	DB00648	
pemetrexed disodium	small molecule	135413520	TCGA	Chemotherapy		alkylating related	approved	DB00642	Pemetrexed|LY-231514|LY231514|NSC-698037
treosulfan	small molecule	9882105	TCGA	Chemotherapy		alkylating related	approved	DB11678	difydroxybusulfan|ovastat|treosulfan
vinorelbine tartrate	small molecule	45055483	TCGA	Chemotherapy		alkylating related	approved	DB00361	
procarbazine	small molecule	4915	TCGA|CTRPV2	Chemotherapy	Antineoplastic chemotherapy drug	alkylating related	approved	DB01168	
dacarbazine	small molecule	135398738	TCGA|CTRPV2	Chemotherapy	Antineoplastic( malignant melanoma and sarcomas)	alkylating related	approved	DB00851	dacarbazine|4342-03-4|DTIC|Deticene|Biocarbazine|Biocarbazine R|ICDMT|DTIC-Dome|Dacarbazinum|NSC-45388|ICDT|5-(3,3-Dimethyl-1-triazeno)imidazole-4-carboxamide|5-(3,3-Dimethyltriazeno)imidazole-4-carboxamide|Di-me-triazenoimidazolecarboxamide|5-(Dimethyltriazeno)imidazole-4-carboxamide|NSC45388|(Dimethyltriazeno)imidazolecarboxamide|Imidazole carboxamide|NSC 45388|DTIE|4-(3,3-Dimethyl-1-triazeno)imidazole-5-carboxamide|NCI-C04717|Dacarbazinum [INN-Latin]|Dacarbazino [INN-Spanish]|4-(5)-(3,3-Dimethyl-1-triazeno)imidazole-5(4)-carboxamide|MFCD00057167|Dtic-Dome (TN)|UNII-7GR28W0FJI|4-(Dimethyltriazeno)imidazole-5-carboxamide|7GR28W0FJI|5-(3,3-Dimethyl-1-triazenyl)imidazole-4-carboxamide|Decarbazine|4-[(1E)-3,3-Dimethyltriaz-1-en-1-yl]-1H-imidazole-5-carboxamide|Imidazole-4-carboxamide, 5-(3,3-dimethyl-1-triazeno)-|HSDB 3219|4-[(E)-dimethylaminodiazenyl]-1H-imidazole-5-carboxamide|Dacarbazino|5-[(1E)-dimethyltriaz-1-en-1-yl]-1H-imidazole-4-carboxamide|SR-05000001598|Dacarbasine|Dicarbazine|CCRIS 190|Dacarbazine (JAN/USP/INN)|5-(Dimethyltriazeno)imidazole-4-carboximide|(E)-Dacarbazine|Dimethyltriazenoimidazolecarboxamide|NCGC00091861-01|EINECS 224-396-1|4(5)-(3,3-Dimethyl-1-triazeno)imidazole-4-carboxamide|(5E)-5-(dimethylaminohydrazinylidene)imidazole-4-carboxamide|4(5)-(3,3-Dimethyl-1-triazeno)imidazole-5(4)-carboxamide|AI3-52825|4-(or 5)-(3,3-Dimethyl-1-triazeno)imidazole-5(or 4)-carboxamide|Dacarbazine (DTIC-Dome)|CHEMBL476|SCHEMBL5560|SCHEMBL5561|SPECTRUM1500218|SCHEMBL1014331|Carboxamide, 5-(3,3-dimethyl-1-triazeno)imidazole-4-|CHEBI:94587|HMS501A08|Imidazole-4-carboxamide, 5-(3,3-dimethyl-1-triazenyl)-|CHEBI:177836|BDBM233149|HMS2090A20|HMS2091I20|NCI C04717|Pharmakon1600-01500218|HY-B0078|CCG-35381|CCG-36068|CCG-40272|NSC759610|NSC799994|s1221|WLN: T5M CNJ DVZ ENUNN1&1|AKOS005220502|AKOS015850745|AKOS026750028|CS-1772|DB00851|KS-5186|NSC-759610|NSC-799994|Dacarbazine [USAN:USP:INN:BAN:JAN]|Dacarbazine, antineoplastic purine analog|NCGC00091861-02|NCGC00091861-03|NCGC00091861-04|NCGC00091861-05|NCGC00188955-01|H539|SBI-0051328.P003|C06936|Carboxamide,3-dimethyl-1-triazeno)imidazole-4-|D00288|J10199|Imidazole-4-carboxamide,3-dimethyl-1-triazeno)-|342D034|A826278|SR-05000001598-1|SR-05000001598-3|W-106228|1H-Imidazole-4-carboxamide,3-dimethyl-1-triazenyl)-|4-[(E)-dimethylaminoazo]-1H-imidazole-5-carboxamide|BRD-K35520305-001-04-5|BRD-K35520305-001-07-8|(5E)-5-(dimethylaminohydrazono)imidazole-4-carboxamide|(5Z)-5-(dimethylaminohydrazono)imidazole-4-carboxamide|5- (3,3-Dimethyl-1-triazenyl) imidazole-4-carboxamide|5-(dimethyltriaz-1-en-1-yl)-1H-imidazole-4-carboxamide|Imidazole-4(or 5)-carboxamide,3-dimethyl-1-triazeno)-|5-[(E)-dimethylaminodiazenyl]-1H-imidazole-4-carboxamide|Dacarbazine, British Pharmacopoeia (BP) Reference Standard|Dacarbazine, European Pharmacopoeia (EP) Reference Standard|(5E)-5-(dimethylaminohydrazinylidene)-4-imidazolecarboxamide|4-(or 5)-(3,3-Dimethyl-1-triazeno)imidazole-5(or  4)-carboxamide|Dacarbazine, United States Pharmacopeia (USP) Reference Standard|Dacarbazine, Pharmaceutical Secondary Standard; Certified Reference Material
trabectedin	small molecule	108150	TCGA|CTRPV2	Chemotherapy	Antitumour agent	alkylating related	approved	DB05109	yondelis|yl54|et-743|yondelis
ifosfamide	small molecule	3690	TCGA|CTRPV2	Chemotherapy	Cytostatic agent	alkylating related	approved	DB01181	ifosfamid|ifex
dexamethasone	small molecule	5743	TCGA|CTRPV2	Chemotherapy	Dexamethasone, as one member of the glucocorticoid family, can protect against arthritis-related changes in cartilage structure and function, including matrix loss, inflammation and cartilage viability.	alkylating related	approved	DB01234	
thalidomide	small molecule	5426	TCGA|CTRPV2	Chemotherapy	Immunomodulatory agent,sedative drug,angiogenesis inhibitor	alkylating related	approved	DB01041	
medrol	small molecule	6741	TCGA|GDSC	Chemotherapy	Apoptosis inducer,GR agonist	alkylating related	approved	DB00959	Methylprednisolon|Methylprednisolone|Methylprednisolonum|Metilprednisolona|J3.872E|NSC-19987
bleomycin	small molecule	5360373	TCGA|GDSC	Chemotherapy	Bleomycin binds to DNA, and causes single-strand scission. The scission of DNA may be the cause of the inhibition of thymidine incorporation into DNA of growing cells and the inhibition of cell division	alkylating related	approved	DB00290	bleomycin sulfate|bleocin|blenamax|bleomycins|bleomycin hexal|nsc-125066|bleomycin hydrochloride
carmustine	small molecule	2578	TCGA|GDSC	Chemotherapy	cell-cycle phase nonspecific alkylating antineoplastic agent	alkylating related	approved	DB00262	carmustin|bcnu|bicnu|gliadel|carmustine implant|carmustine|154-93-8|1,3-Bis(2-chloroethyl)-1-nitrosourea|Carmustin|Gliadel|Carmubris|Nitrumon|BiCNU|Bischloroethyl nitrosourea|Bi CNU|Carmustinum|Becenun|1,3-Bis(2-chloroethyl)nitrosourea|Bischlorethylnitrosurea|N,N'-BIS(2-CHLOROETHYL)-N-NITROSOUREA|Bischlorethylnitrosourea|Carmustina|Urea, N,N'-bis(2-chloroethyl)-N-nitroso-|Bis(2-chloroethyl)nitrosourea|NSC-409962|FDA 0345|SRI 1720|BiCNU (TN)|DTI 015|NCI-C04773|SK 27702|Carmustine (98%)|Bis(chloroethyl)nitrosourea|NSC 409962|UNII-U68WG3173Y|bis-chloroethylnitrosourea|NSC409962|CHEMBL513|1,3-bis(2-chloroethyl)-1-nitroso-urea|CHEBI:3423|Urea, 1,3-bis(2-chloroethyl)-1-nitroso-|Becenum|U68WG3173Y|MFCD00057706|1,3-bis(2-chloroethyl)-3-nitrosourea|NCGC00015204-05|1,3-Bis(.beta.-chloroethyl)-1-nitrosourea|Gliadel Wafer|Bischloroethylnitrosourea|DSSTox_CID_2743|DSSTox_RID_76712|Carmustinum [INN-Latin]|DSSTox_GSID_22743|Carmustina [INN-Spanish]|Bis(2-chloroethyl)1-nitrosourea|Bis-N,N'-(chloroethyl)nitrosourea|C5H9Cl2N3O2|CAS-154-93-8|CCRIS 810|1,3-Bis(beta-chloroethyl)-1-nitrosourea|BCNU [Chloroethyl nitrosoureas]|SR-01000075736|EINECS 205-838-2|BRN 2049744|Camustine|Carustine|AI3-52216|HSDB 7761|BiCNU; Nitrumon|Carmustine [USAN:USP:INN:BAN]|Carmustine- Bio-X|Prestwick_997|Gliadel (TN)|Bischloroethyl nitrosourea [Chloroethyl nitrosoureas]|Gliadel (MGI Pharm)|Spectrum_000265|Carmustine, >=98%|Spectrum4_000888|Spectrum5_000920|Lopac-C-0400|WLN: ONN2GVM2G|C 0400|SCHEMBL4503|Lopac0_000188|Carmustine (JAN/USP/INN)|KBioGR_001296|KBioSS_000745|MLS001333962|DivK1c_000835|AMY382|GTPL6800|DTXSID8022743|HMS502J17|KBio1_000835|KBio2_000745|KBio2_003313|KBio2_005881|AOB6824|DTI-015|NINDS_000835|HMS2092J22|HMS2230I05|HMS3260F17|HMS3369D17|Pharmakon1600-01503110|BCP27690|FDA-0345|SRI-1720|ZINC3830387|Tox21_110097|Tox21_500188|BDBM50015950|CCG-39925|NSC758392|STK624770|AKOS005558013|Tox21_110097_1|BCP9000490|DB00262|LP00188|MCULE-3131772074|NSC-758392|SDCCGSBI-0050176.P004|IDI1_000835|Urea,3-bis(2-chloroethyl)-1-nitroso-|NCGC00015204-01|NCGC00015204-02|NCGC00015204-03|NCGC00015204-04|NCGC00015204-06|NCGC00015204-07|NCGC00015204-08|NCGC00015204-09|NCGC00015204-18|NCGC00093665-01|NCGC00093665-02|NCGC00093665-03|NCGC00093665-04|NCGC00260873-01|Urea,N'-bis(2-chloroethyl)-N-nitroso-|AC-24196|AS-12106|BC164289|HY-13585|N,N''-Bis(2-chloroethyl)-N-nitrosourea|NCI60_003931|SK-27702|SMR000058426|SBI-0050176.P003|EU-0100188|FT-0602937|S3669|BCNU; 1,3-Bis(2-chloroethyl)-1-nitrosourea|C06873|D00254|AB00052431-07|AB00052431_08|154C938|A809590|Q415869|SR-01000075736-1|SR-01000075736-3|W-108025|Z1563145982|Carmustine, United States Pharmacopeia (USP) Reference Standard|1-(2-Chloroethyl)-1-([(2-chloroethyl)amino]carbonyl)-2-oxohydrazine #
vinblastine	small molecule	13342	TCGA|GDSC	Chemotherapy	Extracted from Catharanthus roseus (L.)G.Don;Store the product in sealed, cool and dry condition	alkylating related	approved	DB00570	vinblastine sulfate
actinomycin-d	small molecule	457193	TCGA|GDSC	Chemotherapy	natural chromopeptide isolated from Streptomyces species, and has one heterocyclic chromophore and two cyclic pentapeptide lactone rings.	alkylating related	approved	DB00970	dactinomycin|actinomycin d
epirubicin	small molecule	41867	TCGA|GDSC	Chemotherapy	semisynthetic L-arabino derivative of doxorubicin, has an antineoplastic agent by inhibiting Topoisomerase. Epirubicin inhibits DNA and RNA synthesis. Epirubicin is a Forkhead box protein p3 (Foxp3) inhibitor and inhibits regulatory T cell activity.	alkylating related	approved	DB00445	epirubicinum|nsc-256942|4'-epi-adriamycin|epidoxorubicin|ellence|epiadriamycin|farmorubicin
irinotecan	small molecule	60838	TCGA|GDSC	Chemotherapy	Topoisomerase I inhibitor	alkylating related	approved	DB00762	camptosar|onivyde|irinotecan hydrochloride|irinotecan hydrochloride liposome
pemetrexed	small molecule	135410875	TCGA|GDSC	Chemotherapy	TS, DHFR,GARFT and AICARFT inhibitor	alkylating related	approved	DB00642	alimta|almita
temozolomide	small molecule	5394	TCGA|GDSC|CTRPV2	Chemotherapy	An oral DNA alkylating agent used to treat some brain cancers	alkylating related	approved	DB00853	temozolamide|temodar|temomedac|themozolomide|temodal
doxorubicin	small molecule	31703	TCGA|GDSC|CTRPV2	Chemotherapy	anthracycline class that has the broadest spectrum of activity.	alkylating related	approved	DB00997	adriamyicin|adriamycin|doxil|doxorubicinum|myocet|doxorubicin hydrochloride liposome
